Format Version,1.25,Take Name,Take 2026-01-03 06.50.43 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-01-03 06.50.47.145 午後,Capture Start Frame,724866,Total Frames in Take,2292,Total Exported Frames,2292,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
15,0.150000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001437,0.344175,-0.001072,0.938904,476.716461,73.111061,563.484314,490.851898,76.304405,545.214233,485.795654,68.756149,585.547180,469.347992,77.218178,542.817261,460.870361,70.165535,580.358765,490.856140,76.312706,545.223145,485.748230,68.753616,585.518066,469.347565,77.206161,542.824707,460.913422,70.171852,580.370789
16,0.160000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001411,0.344163,-0.001012,0.938908,476.716309,73.111320,563.481140,490.851837,76.306351,545.211426,485.795502,68.757767,585.544373,469.347839,77.217293,542.813843,460.870148,70.163872,580.355164,490.856689,76.315605,545.214905,485.744507,68.754990,585.517456,469.349152,77.205315,542.821106,460.914276,70.169418,580.370422
17,0.170000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001407,0.344162,-0.000967,0.938909,476.714813,73.113258,563.485779,490.850128,76.309959,545.216125,485.794342,68.759949,585.548889,469.346039,77.219109,542.818542,460.868866,70.164017,580.359680,490.856750,76.321289,545.219666,485.744354,68.755440,585.521423,469.346008,77.204666,542.827209,460.911560,70.171638,580.374390
18,0.180000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001476,0.344202,-0.000991,0.938894,476.719208,73.111328,563.487549,490.853210,76.308762,545.217041,485.800171,68.754707,585.549377,469.349030,77.220169,542.821411,460.874420,70.161659,580.362427,490.855530,76.315536,545.221741,485.750366,68.754036,585.521484,469.351898,77.210022,542.831604,460.918396,70.165794,580.374512
19,0.190000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001415,0.344232,-0.000994,0.938883,476.720123,73.110176,563.485352,490.852875,76.306007,545.213562,485.802704,68.756454,585.547119,469.348480,77.216354,542.819214,460.876526,70.161911,580.361633,490.858093,76.315399,545.219543,485.753693,68.753677,585.517029,469.349274,77.203278,542.828674,460.918884,70.168396,580.375305
20,0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001412,0.344183,-0.000929,0.938901,476.719330,73.112106,563.486389,490.853577,76.310394,545.216248,485.800110,68.758652,585.548950,469.349335,77.218178,542.819641,460.874329,70.161217,580.360901,490.860901,76.319122,545.219482,485.748871,68.757118,585.517944,469.350189,77.205971,542.831055,460.916504,70.166283,580.376404
21,0.210000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001515,0.344207,-0.000917,0.938892,476.717316,73.112045,563.486084,490.850769,76.313370,545.215820,485.799072,68.753708,585.547241,469.346436,77.222649,542.820557,460.873077,70.158485,580.360840,490.853302,76.325073,545.221069,485.750885,68.748276,585.521240,469.348267,77.207596,542.828735,460.916382,70.167274,580.372742
22,0.220000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001472,0.344199,-0.001007,0.938895,476.717133,73.109154,563.488403,490.851379,76.305878,545.218018,485.797882,68.752686,585.550354,469.347229,77.217842,542.822205,460.872162,70.160240,580.363281,490.854462,76.311981,545.221252,485.745270,68.752716,585.523315,469.349792,77.208778,542.831665,460.918396,70.163231,580.376953
23,0.230000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001463,0.344173,-0.001037,0.938904,476.712311,73.111427,563.484741,490.847687,76.306763,545.214905,485.791656,68.755341,585.547302,469.343719,77.219688,542.817871,460.866272,70.163933,580.358887,490.854248,76.316483,545.217346,485.739990,68.752190,585.520874,469.344116,77.207565,542.824463,460.910156,70.169525,580.375854
24,0.240000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001450,0.344160,-0.000943,0.938909,476.708649,73.109352,563.486389,490.843964,76.308029,545.217102,485.788147,68.754066,585.549133,469.339874,77.217064,542.819580,460.862671,70.158249,580.359924,490.846008,76.316673,545.222046,485.736725,68.751518,585.522949,469.342438,77.205681,542.825806,460.908905,70.163597,580.374329
